playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
1/3RandomPlayer,15,6,2080,1301,1586,1001,1322,1084,1267,793,1056,2118,907,1751,2081,1433,1302,1153,950,615,547,,,,6000
1/6RandomPlayer,15,6,1990,1287,1569,1026,931,1286,1283,821,1101,2105,901,1721,1953,1299,1361,1120,1019,637,564,,,,6000
1/12RandomPlayer,15,6,2048,1238,994,747,826,1238,1161,638,947,2070,637,1655,1948,938,1170,1250,1151,725,766,,,,6000
3DoublesPlayer,15,6,2124,1724,1493,1229,1298,1483,1271,1103,1932,2037,1252,1870,2177,1973,1338,1263,762,463,201,,,,6000
7DoublesPlayer,15,6,2338,1426,262,223,277,1265,496,264,588,1986,233,1583,2391,626,576,1348,1171,1512,767,,,,6000
AdversarialLeader,15,6,2357,1662,694,552,544,1446,798,518,895,2157,518,1522,2299,725,928,1526,1374,1299,148,,,,6000
1/2PlayersPlayer,15,6,2171,1864,1051,1091,1053,1716,1378,1135,1400,2188,979,1914,2151,1041,1462,2385,835,213,64,,,,6000
OpTwoPlayer,15,7,2878,2454,303,323,299,1617,656,321,755,3046,337,2477,3282,381,445,1060,1837,1441,1604,232,,,7000
LastBankingPlayer,15,7,3282,2437,252,295,319,1758,612,301,712,2955,280,2389,2852,355,409,1013,1909,1424,1642,248,,,7000
200PotPlayer,15,7,3050,2325,2382,2114,2151,1740,2152,2734,1742,2868,1894,2757,3106,2327,1658,1233,811,554,290,127,,,7000
1000PotPlayer,15,7,3110,2717,1574,1714,1567,2788,1602,1548,1806,2936,1599,2693,3217,2190,1080,1272,1146,658,489,165,,,7000
7RollsPlayer,15,7,2975,2161,2374,1907,1999,1592,1890,1252,1606,2897,2952,2572,2921,1903,1608,1265,922,690,434,178,,,7000
14RollsPlayer,15,7,3010,2457,1641,1452,1474,2019,2860,1204,1605,2929,1400,2577,3002,1613,1357,1370,1260,741,425,234,,,7000
1/3RandomPlayer,15,7,2863,1940,2241,1450,1881,1569,1852,1162,1475,2928,1320,2592,2917,1449,1417,1278,1016,851,549,440,,,7000
1/6RandomPlayer,15,7,2985,2156,2058,1488,1364,1651,1803,1160,1492,2879,1230,2560,3040,1299,1390,1436,1025,891,521,438,,,7000
1/12RandomPlayer,15,7,2973,2096,1401,1074,1135,1713,1619,870,1407,2990,928,2544,2998,981,1154,1465,1231,987,565,617,,,7000
3DoublesPlayer,15,7,3062,2550,1853,1794,1751,2113,1755,1541,2754,2844,1691,2738,3189,2021,1445,1373,1090,608,306,157,,,7000
7DoublesPlayer,15,7,3259,2449,315,347,348,1776,715,368,786,2784,410,2424,3187,681,459,975,1719,1212,1306,648,,,7000
AdversarialLeader,15,7,3235,2608,752,656,676,1924,1100,599,1163,3153,644,2218,3138,626,690,1314,1889,1351,1035,95,,,7000
1/2PlayersPlayer,15,7,2967,2776,1229,1215,1191,2423,1630,1179,1790,3130,1240,2594,3011,958,996,1649,2493,708,156,40,,,7000
OpTwoPlayer,15,8,3850,2417,254,276,277,2081,778,319,886,3923,277,3271,4335,272,302,747,1498,1313,1930,1702,236,,8000
LastBankingPlayer,15,8,4335,2492,268,292,292,2149,732,342,882,4013,284,3226,3888,313,291,768,1550,1226,1923,1694,235,,8000
200PotPlayer,15,8,4057,2763,3082,2807,2739,2298,2709,3862,2357,3791,2613,3681,4055,2314,1565,1426,1172,745,483,207,88,,8000
1000PotPlayer,15,8,4119,3148,2101,2181,2190,3834,2129,2081,2465,3839,2196,3524,4357,2332,1175,1095,1191,813,828,456,110,,8000
7RollsPlayer,15,8,4095,2571,3069,2410,2594,2148,2486,1802,2168,3899,3706,3637,4052,1821,1653,1428,1177,900,544,336,141,,8000
14RollsPlayer,15,8,4166,3091,2170,1972,1868,2638,3822,1707,2235,3951,1979,3420,4074,1632,1376,1482,1384,915,686,350,175,,8000
1/3RandomPlayer,15,8,4113,2444,2903,1909,2379,2127,2440,1659,2010,3871,1868,3596,4034,1528,1377,1335,1098,1129,771,399,363,,8000
